No,PSRJ,ref_psr,RAJ,ra_err,ref_ra,DECJ,dec_err,ref_dec,ra_deg,dec_deg
3085,J2004+2653,lsb+17,20:04:59.02,0.04,lsb+17,+26:53:40.4,0.6,lsb+17,301.24591666666663,26.894555555555556
3086,J2004+3137,dlp70,20:04:52.286,0.0028,hlk+04,+31:37:10.01,0.046,hlk+04,301.2178583333333,31.619447222222224
3087,J2004+3429,bck+13,20:04:46.97,0.03,bck+13,+34:29:17.7,0.5,bck+13,301.1957083333333,34.48825
3088,J2005-0020,mld+96,20:05:43.74,0.037,hlk+04,-00:20:21.9,1.4,hlk+04,301.4322499999999,-0.33941666666666664
3089,J2005+3411g,hww+21,20:05:45,8.0,hww+21,+34:11,2.0,hww+21,301.43749999999994,34.18333333333333
3090,J2005+3547,nab+13,20:05:17.493,0.009,nab+13,+35:47:25.4,0.1,nab+13,301.3228874999999,35.790388888888884
3091,J2005+3552,bck+13,20:05:47.50,0.06,bck+13,+35:52:24.3,0.1,bck+13,301.44791666666663,35.873416666666664
3092,J2006+0148,drc+21,20:06:29.0529,0.0002,drc+21,+01:48:53.919,0.007,drc+21,301.62105375,1.8149775000000001
3093,J2006-0807,mlt+78,20:06:16.3650,0.0001,dgb+19,-08:07:02.167,0.003,dgb+19,301.5681875,-8.117268611111111
3094,J2006+22,scb+19,20:06:36,12.0,scb+19,+22:04,3.0,scb+19,301.65000000000003,22.066666666666666
3095,J2006+3102,nab+13,20:06:11.0,0.3,nab+13,+31:02:03,4.0,nab+13,301.5458333333333,31.034166666666668
3096,J2006+4058,ccl+21,20:06:39.098,0.003,ccl+21,+40:58:53.48,0.03,ccl+21,301.66290833333335,40.981522222222225
3097,J2007+0809,ebvb01,20:07:13.5,0.1,ebvb01,+08:09:33,2.0,ebvb01,301.80625,8.159166666666668
3098,J2007+0910,clm+05,20:07:58.1031,0.0012,clm+05,+09:10:12.93,0.06,clm+05,301.99209625,9.170258333333333
3100,J2007+2722,kac+10,20:07:15.8288,0.0004,akc+13,+27:22:47.914,0.006,akc+13,301.8159533333333,27.379976111111112
3101,J2007+3120,nab+13,20:07:09.012,0.006,nab+13,+31:20:51.54,0.09,nab+13,301.78754999999995,31.347649999999998
3102,J2008+2513,nft95,20:08:35.482,0.011,cn95,+25:13:30.36,0.16,cn95,302.14784166666664,25.225099999999998
